checkpoint,repo_id,revision,model_id,model_name,score,point_rank,original_score,original_point_rank,substitution_score,pairing_score,constraint_score
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,openai/gpt-5.6-sol-pro,OpenAI: GPT-5.6 Sol Pro,63.22911985018727,6,64.22983146067416,3,67.48050561797753,72.00117977528089,50.20567415730338
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,openai/gpt-5.6-terra-pro,OpenAI: GPT-5.6 Terra Pro,64.02569288389513,3,63.66822097378277,5,66.97634831460675,72.0385393258427,53.06219101123595
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,openai/gpt-5.6-luna-pro,OpenAI: GPT-5.6 Luna Pro,63.19440074906367,7,62.643857677902616,7,65.9615168539326,69.39235955056179,54.229325842696625
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,meta-llama/llama-4-maverick,Meta: Llama 4 Maverick,56.32082397003745,26,53.65292134831461,26,62.82983146067415,62.7408988764045,43.391741573033705
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,anthropic/claude-opus-5,Claude Opus 5,63.238220973782774,5,62.4999063670412,8,67.65786516853933,71.85887640449438,50.197921348314615
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,anthropic/claude-sonnet-5,Anthropic: Claude Sonnet 5,60.04762172284643,20,59.521179775280906,20,66.23528089887641,69.62780898876404,44.279775280898875
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,google/gemini-3.1-pro-preview,Google: Gemini 3.1 Pro Preview,64.53917602996256,2,64.95162921348314,2,70.11657303370787,71.51606741573033,51.98488764044944
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,google/gemini-3.6-flash,Google: Gemini 3.6 Flash,61.68213483146068,12,61.97865168539326,11,67.86691011235956,69.88112359550561,47.298370786516855
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,x-ai/grok-4.6,SpaceXAI: Grok 4.6,64.96943820224719,1,65.0658052434457,1,68.04606741573033,71.81488764044943,55.0473595505618
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,moonshotai/kimi-k3,MoonshotAI: Kimi K3,62.48764044943821,9,62.05106741573033,10,65.81803370786517,73.71325842696629,47.93162921348315
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,qwen/qwen3.8-max,Qwen: Qwen3.8 Max,62.562322097378285,8,61.502153558052434,13,67.46005617977528,69.28095505617978,50.945955056179784
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,z-ai/glm-5.2,Z.ai: GLM 5.2,57.19934456928839,22,58.45168539325843,21,63.89640449438203,66.42634831460674,41.2752808988764
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,deepseek/deepseek-v4-pro-0813,DeepSeek: DeepSeek V4 Pro 0813,61.671535580524356,13,61.9537265917603,12,66.38904494382022,70.04797752808989,48.57758426966293
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,deepseek/deepseek-v4-flash-0731,DeepSeek: DeepSeek V4 Flash 0731,56.764606741573026,25,55.43290262172285,24,63.78544943820224,65.48207865168538,41.02629213483146
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,minimax/minimax-m3,MiniMax: MiniMax M3,60.41971910112358,18,60.93955056179775,15,67.21511235955057,68.69606741573034,45.34797752808989
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,nvidia/nemotron-3.5-lightning,NVIDIA: Nemotron 3.5 Lightning,59.09722846441949,21,57.393632958801504,22,65.8238202247191,65.6512359550562,45.81662921348315
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,mistralai/mistral-large-2512,Mistral: Mistral Large 3 2512,57.00889513108614,23,55.41541198501873,25,62.68724719101124,65.28449438202247,43.054943820224715
cooc,Kaikaku/epicure-cooc,03edd311adde6e39a2eb6f9f3fa78f7396be6b53,tencent/hy3,Tencent: Hy3,62.0748127340824,11,61.48209737827715,14,67.03337078651684,69.13483146067416,50.05623595505618
