rank,rank_group,rank_ci_low,rank_ci_high,model,model_id,flavourbench_score,pointwise_ci_low,pointwise_ci_high,simultaneous_ci_low,simultaneous_ci_high,valid_scored,scheduled,coverage,above_exact_chance_holm
1,1,1,5,SpaceXAI: Grok 4.6,x-ai/grok-4.6,65.065805,62.334971,67.800198,60.979854,69.151757,534,534,1.000000,true
2,1,1,6,Google: Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,64.951629,62.175951,67.699904,60.803118,69.100141,534,534,1.000000,true
3,1,1,8,OpenAI: GPT-5.6 Sol Pro,openai/gpt-5.6-sol-pro,64.229831,61.486313,66.993239,60.088196,68.371467,534,534,1.000000,true
4,1,1,10,Meta: Muse Spark 1.2,meta/muse-spark-1.2,63.754476,61.038520,66.529456,59.631114,67.877838,534,534,1.000000,true
5,1,1,11,OpenAI: GPT-5.6 Terra Pro,openai/gpt-5.6-terra-pro,63.668221,60.911160,66.400382,59.527801,67.808640,534,534,1.000000,true
6,1,2,13,Anthropic: Claude Fable 5,anthropic/claude-fable-5,63.357566,60.564361,66.150924,59.175394,67.539737,534,534,1.000000,true
7,1,4,14,OpenAI: GPT-5.6 Luna Pro,openai/gpt-5.6-luna-pro,62.643858,59.902510,65.387689,58.522469,66.765246,534,534,1.000000,true
8,1,3,15,Claude Opus 5,anthropic/claude-opus-5,62.499906,59.760629,65.250388,58.389421,66.610392,534,534,1.000000,true
9,1,4,17,Qwen: Qwen3.8 2.4T A95B,qwen/qwen3.8-2.4t-a95b,62.084120,59.326107,64.854144,57.928492,66.239748,534,534,1.000000,true
10,1,5,16,MoonshotAI: Kimi K3,moonshotai/kimi-k3,62.051067,59.310916,64.811573,57.917175,66.184959,534,534,1.000000,true
11,1,4,17,Google: Gemini 3.6 Flash,google/gemini-3.6-flash,61.978652,59.146409,64.816529,57.720222,66.237081,534,534,1.000000,true
12,1,5,17,DeepSeek: DeepSeek V4 Pro 0813,deepseek/deepseek-v4-pro-0813,61.953727,59.170751,64.731123,57.795344,66.112110,534,534,1.000000,true
13,1,7,18,Qwen: Qwen3.8 Max,qwen/qwen3.8-max,61.502154,58.761084,64.270470,57.358938,65.645370,534,534,1.000000,true
14,1,6,19,Tencent: Hy3,tencent/hy3,61.482097,58.702937,64.250866,57.293280,65.670915,534,534,1.000000,true
15,1,8,20,MiniMax: MiniMax M3,minimax/minimax-m3,60.939551,58.152253,63.711314,56.779497,65.099604,534,534,1.000000,true
16,1,8,20,Z.ai: GLM-5.3,z-ai/glm-5.3,60.573277,57.765452,63.369491,56.357438,64.789116,534,534,1.000000,true
17,2,12,21,Meta: Muse Glimmer 30B,meta/muse-glimmer-30b,59.886985,57.206392,62.578536,55.860624,63.913346,534,534,1.000000,true
18,2,12,22,ByteDance Seed: Seed 2.1 Turbo,bytedance-seed/seed-2-1-turbo,59.723764,56.872131,62.602471,55.440047,64.007481,534,534,1.000000,true
19,2,12,22,Thinking Machines: Inkling,thinkingmachines/inkling,59.608315,56.843525,62.377110,55.436842,63.779787,534,534,1.000000,true
20,2,13,22,Anthropic: Claude Sonnet 5,anthropic/claude-sonnet-5,59.521180,56.757673,62.262207,55.390858,63.651501,534,534,1.000000,true
21,2,16,23,Z.ai: GLM 5.2,z-ai/glm-5.2,58.451685,55.631575,61.280667,54.194257,62.709114,534,534,1.000000,true
22,2,19,25,NVIDIA: Nemotron 3.5 Lightning,nvidia/nemotron-3.5-lightning,57.393633,54.621331,60.167955,53.230771,61.556495,534,534,1.000000,true
23,2,20,25,Cohere: Command A,cohere/command-a,56.707228,53.908649,59.520488,52.475413,60.939044,534,534,1.000000,true
24,2,22,26,DeepSeek: DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,55.432903,52.571000,58.315555,51.119581,59.746224,534,534,1.000000,true
25,2,22,26,Mistral: Mistral Large 3 2512,mistralai/mistral-large-2512,55.415412,52.720716,58.119232,51.354923,59.475901,534,534,1.000000,true
26,3,24,26,Meta: Llama 4 Maverick,meta-llama/llama-4-maverick,53.652921,50.964854,56.360268,49.605674,57.700169,534,534,1.000000,true
27,3,27,27,Cohere: Command R+ (08-2024),cohere/command-r-plus-08-2024,47.855599,45.106948,50.616597,43.731984,51.979215,534,534,1.000000,true
