left_model_id,right_model_id,shared_valid_tasks,mean_difference,ci_low,ci_high,cohen_dz,sign_flip_p,holm_p,holm_significant,direction
openai/gpt-5.6-sol-pro,openai/gpt-5.6-terra-pro,534,0.561610,-1.436608,2.559040,0.02376930,0.5838741613,1,false,left_higher
openai/gpt-5.6-sol-pro,openai/gpt-5.6-luna-pro,534,1.585974,-0.261245,3.430828,0.07233520,0.09243907561,1,false,left_higher
openai/gpt-5.6-sol-pro,meta-llama/llama-4-maverick,534,10.576910,7.526116,13.654998,0.29100589,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-sol-pro,anthropic/claude-opus-5,534,1.729925,-0.653662,4.099882,0.06149047,0.1549784502,1,false,left_higher
openai/gpt-5.6-sol-pro,anthropic/claude-sonnet-5,534,4.708652,2.061136,7.357851,0.15041777,0.0006199938001,0.148798512,false,left_higher
openai/gpt-5.6-sol-pro,google/gemini-3.1-pro-preview,534,-0.721798,-2.893608,1.450286,-0.02798244,0.5196748033,1,false,right_higher
openai/gpt-5.6-sol-pro,google/gemini-3.6-flash,534,2.251180,-0.533835,5.015614,0.06822954,0.11399886,1,false,left_higher
openai/gpt-5.6-sol-pro,x-ai/grok-4.6,534,-0.835974,-3.063100,1.381745,-0.03168949,0.4653653463,1,false,right_higher
openai/gpt-5.6-sol-pro,moonshotai/kimi-k3,534,2.178764,0.033690,4.319822,0.08502555,0.05070949291,1,false,left_higher
openai/gpt-5.6-sol-pro,qwen/qwen3.8-max,534,2.727678,0.525189,4.918583,0.10384219,0.0160198398,1,false,left_higher
openai/gpt-5.6-sol-pro,z-ai/glm-5.2,534,5.778146,2.981865,8.574934,0.17426163,3.99996e-05,0.0109598904,true,left_higher
openai/gpt-5.6-sol-pro,deepseek/deepseek-v4-pro-0813,534,2.276105,0.141813,4.405891,0.09039259,0.0364696353,1,false,left_higher
openai/gpt-5.6-sol-pro,deepseek/deepseek-v4-flash-0731,534,8.796929,5.558795,12.010822,0.22909491,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-sol-pro,minimax/minimax-m3,534,3.290281,1.003435,5.597313,0.12073235,0.0049099509,0.986900131,false,left_higher
openai/gpt-5.6-sol-pro,nvidia/nemotron-3.5-lightning,534,6.836199,4.093346,9.575693,0.21044724,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-sol-pro,mistralai/mistral-large-2512,534,8.814419,5.848981,11.764961,0.25139529,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-sol-pro,tencent/hy3,534,2.747734,0.183103,5.343440,0.08972682,0.0377896221,1,false,left_higher
openai/gpt-5.6-sol-pro,cohere/command-a,534,7.522603,4.628063,10.409241,0.21832164,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-sol-pro,cohere/command-r-plus-08-2024,534,16.374232,13.048321,19.697088,0.41334052,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-sol-pro,meta/muse-spark-1.2,534,0.475356,-1.754531,2.641095,0.01842708,0.6710732893,1,false,left_higher
openai/gpt-5.6-sol-pro,meta/muse-glimmer-30b,534,4.342846,1.780250,6.902083,0.14327112,0.0010599894,0.243797562,false,left_higher
openai/gpt-5.6-sol-pro,anthropic/claude-fable-5,534,0.872266,-1.503143,3.281257,0.03101669,0.4754852451,1,false,left_higher
openai/gpt-5.6-sol-pro,qwen/qwen3.8-2.4t-a95b,534,2.145712,-0.287600,4.582134,0.07417882,0.08624913751,1,false,left_higher
openai/gpt-5.6-sol-pro,bytedance-seed/seed-2-1-turbo,534,4.506067,1.740968,7.312870,0.13619112,0.0016699833,0.3707362926,false,left_higher
openai/gpt-5.6-sol-pro,thinkingmachines/inkling,534,4.621517,1.840749,7.390154,0.14085559,0.0011299887,0.2565074349,false,left_higher
openai/gpt-5.6-sol-pro,z-ai/glm-5.3,534,3.656554,0.912400,6.384105,0.11390164,0.009009909901,1,false,left_higher
openai/gpt-5.6-terra-pro,openai/gpt-5.6-luna-pro,534,1.024363,-1.064825,3.149027,0.04153790,0.3395266047,1,false,left_higher
openai/gpt-5.6-terra-pro,meta-llama/llama-4-maverick,534,10.015300,6.962868,13.123901,0.27456929,9.999900001e-06,0.0035099649,true,left_higher
openai/gpt-5.6-terra-pro,anthropic/claude-opus-5,534,1.168315,-1.294983,3.631447,0.04027793,0.3529464705,1,false,left_higher
openai/gpt-5.6-terra-pro,anthropic/claude-sonnet-5,534,4.147041,1.648757,6.673862,0.13939749,0.0014699853,0.3292767072,false,left_higher
openai/gpt-5.6-terra-pro,google/gemini-3.1-pro-preview,534,-1.283408,-3.563795,1.008413,-0.04772988,0.2722372776,1,false,right_higher
openai/gpt-5.6-terra-pro,google/gemini-3.6-flash,534,1.689569,-0.972538,4.337173,0.05375098,0.214697853,1,false,left_higher
openai/gpt-5.6-terra-pro,x-ai/grok-4.6,534,-1.397584,-3.684724,0.872072,-0.05180712,0.2320576794,1,false,right_higher
openai/gpt-5.6-terra-pro,moonshotai/kimi-k3,534,1.617154,-0.503668,3.766908,0.06383409,0.1417885821,1,false,left_higher
openai/gpt-5.6-terra-pro,qwen/qwen3.8-max,534,2.166067,-0.023776,4.352664,0.08369745,0.05363946361,1,false,left_higher
openai/gpt-5.6-terra-pro,z-ai/glm-5.2,534,5.216536,2.265734,8.170133,0.14887978,0.0006499935001,0.1553484465,false,left_higher
openai/gpt-5.6-terra-pro,deepseek/deepseek-v4-pro-0813,534,1.714494,-0.545512,3.996986,0.06475711,0.1365586344,1,false,left_higher
openai/gpt-5.6-terra-pro,deepseek/deepseek-v4-flash-0731,534,8.235318,4.981814,11.486671,0.21351436,9.999900001e-06,0.0035099649,true,left_higher
