rank,rank_group,model,model_id,flavourbench_score,simultaneous_ci_low,simultaneous_ci_high,completed,parseable,repeat_jaccard,eligible
1,1,SpaceXAI: Grok 4.6,x-ai/grok-4.6,73.358672,70.099355,76.617989,640,640,0.778125,true
2,1,Google: Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,72.901188,69.631791,76.170584,640,640,0.807813,true
3,1,Meta: Muse Spark 1.2,meta/muse-spark-1.2,72.376469,69.077155,75.675783,640,640,0.834375,true
4,1,OpenAI: GPT-5.6 Sol Pro,openai/gpt-5.6-sol-pro,71.989469,68.673351,75.305587,640,640,0.862500,true
5,1,OpenAI: GPT-5.6 Terra Pro,openai/gpt-5.6-terra-pro,71.482141,68.190184,74.774097,640,640,0.798438,true
6,1,Qwen: Qwen3.8 Max,qwen/qwen3.8-max,71.407203,68.024458,74.789948,640,640,0.795312,true
7,1,Qwen: Qwen3.8 2.4T A95B,qwen/qwen3.8-2.4t-a95b,71.204891,67.878447,74.531334,627,627,0.781250,true
8,1,Claude Opus 5,anthropic/claude-opus-5,70.756250,67.473343,74.039157,640,640,0.748437,true
9,1,MoonshotAI: Kimi K3,moonshotai/kimi-k3,70.310375,67.003770,73.616980,640,640,0.742188,true
10,1,Google: Gemini 3.6 Flash,google/gemini-3.6-flash,70.074828,66.796564,73.353092,640,640,0.795312,true
11,1,Anthropic: Claude Sonnet 5,anthropic/claude-sonnet-5,69.435109,66.112420,72.757798,640,640,0.790625,true
12,2,ByteDance Seed: Seed 2.1 Turbo,bytedance-seed/seed-2-1-turbo,69.183266,65.817249,72.549282,640,640,0.821875,true
13,2,OpenAI: GPT-5.6 Luna Pro,openai/gpt-5.6-luna-pro,69.159266,65.843418,72.475113,639,639,0.718750,true
14,2,Tencent: Hy3,tencent/hy3,68.893828,65.526142,72.261514,640,640,0.520312,true
15,2,DeepSeek: DeepSeek V4 Pro 0813,deepseek/deepseek-v4-pro-0813,68.448203,64.861257,72.035149,629,629,0.662500,true
16,2,Meta: Muse Glimmer 30B,meta/muse-glimmer-30b,68.377016,65.018928,71.735103,640,640,0.795312,true
17,2,Z.ai: GLM 5.2,z-ai/glm-5.2,66.875266,63.496437,70.254094,635,634,0.665625,true
18,2,MiniMax: MiniMax M3,minimax/minimax-m3,66.726062,63.326700,70.125425,627,627,0.704687,true
19,2,NVIDIA: Nemotron 3.5 Lightning,nvidia/nemotron-3.5-lightning,65.151203,61.625471,68.676935,629,629,0.756250,true
20,3,Thinking Machines: Inkling,thinkingmachines/inkling,64.456719,60.749386,68.164052,616,616,0.651562,true
21,3,DeepSeek: DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,62.686156,59.171242,66.201070,640,640,0.557813,true
22,3,Mistral: Mistral Large 3 2512,mistralai/mistral-large-2512,61.401109,57.879831,64.922388,640,639,0.640625,true
23,3,Meta: Llama 4 Maverick,meta-llama/llama-4-maverick,60.171906,56.634350,63.709462,638,629,0.526563,true
24,4,Cohere: Command A,cohere/command-a,58.106703,54.820660,61.392746,640,640,0.571875,true
25,5,Cohere: Command R+ (08-2024),cohere/command-r-plus-08-2024,36.671516,33.660095,39.682936,640,639,0.229687,true
,,Anthropic: Claude Fable 5,anthropic/claude-fable-5,42.319219,37.882992,46.755446,413,413,0.484375,false
