rank,rank_group,model,model_id,flavourbench_score,simultaneous_ci_low,simultaneous_ci_high,completed,parseable,repeat_jaccard,eligible
1,1,SpaceXAI: Grok 4.6,x-ai/grok-4.6,73.358672,70.098448,76.618896,640,640,0.778125,true
2,1,Google: Gemini 3.1 Pro Preview,google/gemini-3.1-pro-preview,72.901188,69.630881,76.171494,640,640,0.807813,true
3,1,Meta: Muse Spark 1.2,meta/muse-spark-1.2,72.376469,69.076236,75.676701,640,640,0.834375,true
4,1,OpenAI: GPT-5.6 Sol Pro,openai/gpt-5.6-sol-pro,71.989469,68.672427,75.306510,640,640,0.862500,true
5,1,OpenAI: GPT-5.6 Terra Pro,openai/gpt-5.6-terra-pro,71.482141,68.189268,74.775014,640,640,0.798438,true
6,1,Qwen: Qwen3.8 Max,qwen/qwen3.8-max,71.407203,68.023516,74.790890,640,640,0.795312,true
7,1,Qwen: Qwen3.8 2.4T A95B,qwen/qwen3.8-2.4t-a95b,71.204891,67.877521,74.532261,627,627,0.781250,true
8,1,Claude Opus 5,anthropic/claude-opus-5,70.756250,67.472429,74.040071,640,640,0.748437,true
9,1,MoonshotAI: Kimi K3,moonshotai/kimi-k3,70.310375,67.002850,73.617900,640,640,0.742188,true
10,1,Google: Gemini 3.6 Flash,google/gemini-3.6-flash,70.074828,66.795652,73.354005,640,640,0.795312,true
11,1,Anthropic: Claude Sonnet 5,anthropic/claude-sonnet-5,69.435109,66.111495,72.758723,640,640,0.790625,true
12,2,ByteDance Seed: Seed 2.1 Turbo,bytedance-seed/seed-2-1-turbo,69.183266,65.816312,72.550219,640,640,0.821875,true
13,2,OpenAI: GPT-5.6 Luna Pro,openai/gpt-5.6-luna-pro,69.159266,65.842495,72.476036,639,639,0.718750,true
14,2,Tencent: Hy3,tencent/hy3,68.893828,65.525204,72.262452,640,640,0.520312,true
15,2,DeepSeek: DeepSeek V4 Pro 0813,deepseek/deepseek-v4-pro-0813,68.448203,64.860258,72.036148,629,629,0.662500,true
16,2,Meta: Muse Glimmer 30B,meta/muse-glimmer-30b,68.377016,65.017993,71.736038,640,640,0.795312,true
17,2,Z.ai: GLM 5.2,z-ai/glm-5.2,66.875266,63.495497,70.255035,635,634,0.665625,true
18,2,MiniMax: MiniMax M3,minimax/minimax-m3,66.726062,63.325754,70.126371,627,627,0.704687,true
19,2,NVIDIA: Nemotron 3.5 Lightning,nvidia/nemotron-3.5-lightning,65.151203,61.624490,68.677917,629,629,0.756250,true
20,3,Thinking Machines: Inkling,thinkingmachines/inkling,64.456719,60.748354,68.165084,616,616,0.651562,true
21,3,DeepSeek: DeepSeek V4 Flash 0731,deepseek/deepseek-v4-flash-0731,62.686156,59.170264,66.202049,640,640,0.557813,true
22,3,Mistral: Mistral Large 3 2512,mistralai/mistral-large-2512,61.401109,57.878851,64.923368,640,639,0.640625,true
23,3,Meta: Llama 4 Maverick,meta-llama/llama-4-maverick,60.171906,56.633365,63.710447,638,629,0.526563,true
24,4,Cohere: Command A,cohere/command-a,58.106703,54.819745,61.393661,640,640,0.571875,true
25,5,Cohere: Command R+ (08-2024),cohere/command-r-plus-08-2024,36.671516,33.659256,39.683775,640,639,0.229687,true
,,Anthropic: Claude Fable 5,anthropic/claude-fable-5,26.190062,22.769167,29.610958,242,242,0.265625,false
