left_model_id,right_model_id,mean_difference,ci_low,ci_high,cohen_dz,sign_flip_p,holm_p,holm_significant,direction
openai/gpt-5.6-sol-pro,openai/gpt-5.6-terra-pro,0.507328,-1.008418,2.018144,0.02583795,0.5166648334,1,false,left_higher
openai/gpt-5.6-sol-pro,openai/gpt-5.6-luna-pro,2.830203,0.951668,4.716439,0.11602695,0.003199968,0.25599744,false,left_higher
openai/gpt-5.6-sol-pro,meta-llama/llama-4-maverick,11.817562,9.087287,14.570598,0.33083389,9.999900001e-06,0.001899981,true,left_higher
openai/gpt-5.6-sol-pro,anthropic/claude-opus-5,1.233219,-0.682678,3.161400,0.04920385,0.2142278577,1,false,left_higher
openai/gpt-5.6-sol-pro,anthropic/claude-sonnet-5,2.554359,0.415719,4.721441,0.09153753,0.0205897941,1,false,left_higher
openai/gpt-5.6-sol-pro,google/gemini-3.1-pro-preview,-0.911719,-2.613627,0.785866,-0.04146991,0.2939170608,1,false,right_higher
openai/gpt-5.6-sol-pro,google/gemini-3.6-flash,1.914641,-0.181861,4.022879,0.07020982,0.07658923411,1,false,left_higher
openai/gpt-5.6-sol-pro,x-ai/grok-4.5,-0.409562,-2.419797,1.590662,-0.01584592,0.68700313,1,false,right_higher
openai/gpt-5.6-sol-pro,moonshotai/kimi-k3,1.679094,-0.128709,3.471328,0.07228493,0.06757932421,1,false,left_higher
openai/gpt-5.6-sol-pro,qwen/qwen3.8-max,0.582266,-1.479068,2.598895,0.02204410,0.5794442056,1,false,left_higher
openai/gpt-5.6-sol-pro,z-ai/glm-5.2,5.114203,2.734665,7.488033,0.16616963,2.99997e-05,0.0031799682,true,left_higher
openai/gpt-5.6-sol-pro,deepseek/deepseek-v4-pro,2.963406,0.931430,4.996629,0.11196179,0.0045199548,0.3344766552,false,left_higher
openai/gpt-5.6-sol-pro,deepseek/deepseek-v4-flash-0731,9.303313,6.680905,11.944542,0.27148455,9.999900001e-06,0.001899981,true,left_higher
openai/gpt-5.6-sol-pro,minimax/minimax-m3,5.263406,3.027986,7.516814,0.18020261,9.999900001e-06,0.001899981,true,left_higher
openai/gpt-5.6-sol-pro,nvidia/nemotron-3.5-lightning,6.838266,4.381521,9.300303,0.21502764,9.999900001e-06,0.001899981,true,left_higher
openai/gpt-5.6-sol-pro,mistralai/mistral-large-2512,10.588359,7.995011,13.172750,0.31398766,9.999900001e-06,0.001899981,true,left_higher
