left_model_id,right_model_id,mean_difference,ci_low,ci_high,cohen_dz,sign_flip_p,holm_p,holm_significant,direction
openai/gpt-5.6-sol-pro,openai/gpt-5.6-terra-pro,0.507328,-1.008418,2.018144,0.02583795,0.5166648334,1,false,left_higher
openai/gpt-5.6-sol-pro,openai/gpt-5.6-luna-pro,2.830203,0.951668,4.716439,0.11602695,0.003199968,0.419195808,false,left_higher
openai/gpt-5.6-sol-pro,meta-llama/llama-4-maverick,11.817562,9.087287,14.570598,0.33083389,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-sol-pro,anthropic/claude-opus-5,1.233219,-0.682678,3.161400,0.04920385,0.2142278577,1,false,left_higher
openai/gpt-5.6-sol-pro,anthropic/claude-sonnet-5,2.554359,0.415719,4.721441,0.09153753,0.0205897941,1,false,left_higher
openai/gpt-5.6-sol-pro,google/gemini-3.1-pro-preview,-0.911719,-2.613627,0.785866,-0.04146991,0.2939170608,1,false,right_higher
openai/gpt-5.6-sol-pro,google/gemini-3.6-flash,1.914641,-0.181861,4.022879,0.07020982,0.07658923411,1,false,left_higher
openai/gpt-5.6-sol-pro,x-ai/grok-4.6,-1.369203,-3.291144,0.551036,-0.05480504,0.1679883201,1,false,right_higher
openai/gpt-5.6-sol-pro,moonshotai/kimi-k3,1.679094,-0.128709,3.471328,0.07228493,0.06757932421,1,false,left_higher
openai/gpt-5.6-sol-pro,qwen/qwen3.8-max,0.582266,-1.479068,2.598895,0.02204410,0.5794442056,1,false,left_higher
openai/gpt-5.6-sol-pro,z-ai/glm-5.2,5.114203,2.734665,7.488033,0.16616963,2.99997e-05,0.005369946301,true,left_higher
openai/gpt-5.6-sol-pro,deepseek/deepseek-v4-pro-0813,3.541266,1.586546,5.521689,0.14003438,0.0003799962,0.05927940721,false,left_higher
openai/gpt-5.6-sol-pro,deepseek/deepseek-v4-flash-0731,9.303313,6.680905,11.944542,0.27148455,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-sol-pro,minimax/minimax-m3,5.263406,3.027986,7.516814,0.18020261,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-sol-pro,nvidia/nemotron-3.5-lightning,6.838266,4.381521,9.300303,0.21502764,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-sol-pro,mistralai/mistral-large-2512,10.588359,7.995011,13.172750,0.31398766,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-sol-pro,tencent/hy3,3.095641,1.001952,5.190299,0.11443856,0.0039499605,0.497695023,false,left_higher
openai/gpt-5.6-sol-pro,cohere/command-a,13.882766,11.328503,16.439266,0.40911191,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-sol-pro,cohere/command-r-plus-08-2024,35.317953,32.441540,38.172259,0.91142819,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-sol-pro,meta/muse-spark-1.2,-0.387000,-2.226549,1.441431,-0.01611336,0.6844331557,1,false,right_higher
openai/gpt-5.6-sol-pro,meta/muse-glimmer-30b,3.612453,1.560333,5.697855,0.13474612,0.0006199938001,0.09175908241,false,left_higher
openai/gpt-5.6-sol-pro,anthropic/claude-fable-5,45.911109,43.256700,48.557228,0.96049670,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-sol-pro,qwen/qwen3.8-2.4t-a95b,0.784578,-0.981394,2.544484,0.03437811,0.3838361616,1,false,left_higher
openai/gpt-5.6-sol-pro,bytedance-seed/seed-2-1-turbo,2.806203,0.657108,4.955079,0.10123487,0.0104898951,1,false,left_higher
openai/gpt-5.6-sol-pro,thinkingmachines/inkling,7.532750,4.908437,10.199258,0.22127145,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-terra-pro,openai/gpt-5.6-luna-pro,2.322875,0.351109,4.300493,0.09050447,0.0216497835,1,false,left_higher
openai/gpt-5.6-terra-pro,meta-llama/llama-4-maverick,11.310234,8.565732,14.059058,0.31570385,9.999900001e-06,0.0032499675,true,left_higher
openai/gpt-5.6-terra-pro,anthropic/claude-opus-5,0.725891,-1.106198,2.581191,0.03021097,0.444295557,1,false,left_higher
openai/gpt-5.6-terra-pro,anthropic/claude-sonnet-5,2.047031,-0.080384,4.165980,0.07420982,0.06022939771,1,false,left_higher
